name,categories.0.alias,categories.0.title,categories.1.alias,categories.1.title,categories.2.alias,categories.2.title,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
The Pig & The Lady,vietnamese,Vietnamese,asianfusion,Asian Fusion,noodles,Noodles,21.311483,-157.863587,83 N King St,Honolulu,96817,US,HI
Pho King,vietnamese,Vietnamese,,,,,21.497093,-158.025516,823 California Ave,Wahiawa,96786,US,HI
SXY Szechuan,szechuan,Szechuan,,,,,21.29131298,-157.8433791,1450 Ala Moana Blvd,Honolulu,96814,US,HI
Marukame Udon,japanese,Japanese,noodles,Noodles,sushi,Sushi Bars,21.2796074,-157.8258334,2310 Kuhio Ave,Honolulu,96815,US,HI
Tonkatsu Ginza Bairin,japanese,Japanese,,,,,21.2800344,-157.831007,255 Beach Walk,Honolulu,96815,US,HI
Lucky Belly,bars,Asian Fusion,asianfusion,Asian Fusion,ramen,Ramen,21.31181,-157.86213,50 N Hotel St,Honolulu,96817,US,HI
Chengdu Taste,szechuan,Szechuan,noodles,Noodles,,,21.29691,-157.84246,808 Sheridan St,Honolulu,96814,US,HI
Nana Ai Katsu,japanese,Japanese,,,,,21.29614,-157.854999,333 Ward Ave,Honolulu,96814,US,HI
1938 Indochine,vietnamese,Vietnamese,thai,Thai,laotian,Laotian,21.298566,-157.862187,602 Ala Moana Blvd,Honolulu,96813,US,HI
Fooki,bubbletea,Bubble Tea,taiwanese,Taiwanese,noodles,Noodles,21.38085947,-157.9427844,98-199 Kamehameha Hwy,Aiea,96701,US,HI
Pho Bistro 2,vietnamese,Vietnamese,noodles,Noodles,,,21.29253,-157.83625,1694 Kalakaua Ave,Honolulu,96826,US,HI
Tonkatsu Tamafuji,japanese,Japanese,,,,,21.27496581,-157.8154066,449 Kapahulu Ave,Honolulu,96815,US,HI
Onoya Ramen,ramen,Ramen,japacurry,Japanese Curry,,,21.27879897,-157.8135495,611 Kapahulu Ave,Honolulu,96815,US,HI
Little Village Noodle House,chinese,Chinese,noodles,Noodles,soup,Soup,21.31178,-157.86212,1113 Smith St,Honolulu,96817,US,HI
Lee Ho Fook Restaurant,chinese,Chinese,noodles,Noodles,seafood,Seafood,21.314707,-157.860757,100 N Beretania St,Honolulu,96817,US,HI
Kai Sushi,sushi,Sushi Bars,asianfusion,Asian Fusion,,,21.296131,-157.855007,333 Ward Ave 96814,Honolulu,96814,US,HI
Piggy Smalls,asianfusion,Asian Fusion,breakfast_brunch,Breakfast & Brunch,newamerican,American (New),21.29312997,-157.8527073,1200 Ala Moana Blvd,Honolulu,96814,US,HI
Rangoon Burmese Kitchen,burmese,Burmese,,,,,21.31129,-157.86133,1131 Nuuanu Ave,Honolulu,96817,US,HI
Miro Kaimuki,asianfusion,Asian Fusion,,,,,21.284633,-157.80236,3446 Waialae Ave,Honolulu,96816,US,HI
XO Restaurant,newamerican,Asian Fusion,asianfusion,Asian Fusion,cocktailbars,Cocktail Bars,21.28497276,-157.8026491,3434 Waialae Ave,Honolulu,96816,US,HI
Yakitori Hachibei,japanese,Japanese,,,,,21.3113619,-157.8622261,20 N Hotel St,Honolulu,96817,US,HI
Shige's Saimin Stand,japanese,Japanese,noodles,Noodles,burgers,Burgers,21.497098,-158.03078,70 Kukui St,Wahiawa,96786,US,HI
Cocina De Roja,mexican,Vietnamese,vietnamese,Vietnamese,,,21.293924,-157.825863,2334 S King St,Honolulu,96826,US,HI
Ramen Nakamura,ramen,Ramen,noodles,Noodles,,,21.281537,-157.830704,2141 Kalakaua Ave,Honolulu,96815,US,HI
Doraku Sushi - Waikiki,sushi,Sushi Bars,asianfusion,Asian Fusion,izakaya,Izakaya,21.278638,-157.829006,2233 Kalakaua Ave,Honolulu,96815,US,HI
Yoshitsune Restaurant,japanese,Japanese,sushi,Sushi Bars,,,21.27172264,-157.8224256,2586 Kalakaua Ave,Honolulu,96815,US,HI
Topped Waikiki,korean,Korean,,,,,21.28061,-157.82773,2229 Kuhio Ave,Honolulu,96815,US,HI
The Corner Rolls,foodstands,Asian Fusion,asianfusion,Asian Fusion,,,21.295004,-157.858912,919 Ala Moana Blvd,Honolulu,96814,US,HI
Red Elephant Thai Cuisine,thai,Thai,seafood,Seafood,,,21.28770697,-157.8081089,3196 Waialae Ave,Honolulu,96816,US,HI
The Ripple of Smiles,vietnamese,Vietnamese,vegan,Vegan,breakfast_brunch,Breakfast & Brunch,21.28931,-157.81129,3040 Waialae Ave,Honolulu,96816,US,HI
Han No Daidokoro,bbq,Japanese,japanese,Japanese,cocktailbars,Cocktail Bars,21.293797,-157.852571,1108 Auahi St,Honolulu,96814,US,HI
Sura Hawaii,korean,Korean,bbq,Barbeque,,,21.290833,-157.836831,1726 Kapiolani Blvd,Honolulu,96814,US,HI
Cafe Asia,hotpot,Hot Pot,japanese,Japanese,chinese,Chinese,21.28232033,-157.7359832,5724 Kalanianaole Hwy,Honolulu,96821,US,HI
Daiichi Ramen,ramen,Ramen,japacurry,Japanese Curry,asianfusion,Asian Fusion,21.27899741,-157.786475,4210 Waialae Ave,Honolulu,96816,US,HI
Siam Palace Thai Restaurant,thai,Thai,laotian,Laotian,vietnamese,Vietnamese,21.28019,-157.81429,730 Kapahulu Ave,Honolulu,96816,US,HI
Roy's Waikiki,seafood,Hawaiian,hawaiian,Hawaiian,asianfusion,Asian Fusion,21.27863,-157.83162,226 Lewers St,Honolulu,96815,US,HI
Gyu-Kaku Japanese BBQ,japanese,Japanese,bbq,Barbeque,asianfusion,Asian Fusion,21.280463,-157.829266,307 Lewers St,Honolulu,96815,US,HI
Izakaya Naru,izakaya,Izakaya,,,,,21.29117035,-157.8203954,2700 S King St,Honolulu,96826,US,HI
Honolulu Skewer House,chinese,Chinese,bbq,Barbeque,,,21.27793693,-157.8137646,567 Kapahulu Ave,Honolulu,96815,US,HI
So Gong Dong Restaurant,korean,Korean,,,,,21.29585488,-157.8407344,745 Keeaumoku St,Honolulu,96814,US,HI
Pad Thai,thai,Thai,,,,,21.34533235,-157.9138713,848 Ala Lilikoi St,Honolulu,96818,US,HI
Broken Rice,vietnamese,Vietnamese,desserts,Desserts,salad,Salad,21.28239307,-157.7986201,3607 Waialae Ave,Honolulu,96816,US,HI
SingMaTei,malaysian,Malaysian,,,,,21.290903,-157.843879,1450 Ala Moana Blvd,Honolulu,96814,US,HI
Gen Korean BBQ House,korean,Korean,bbq,Barbeque,asianfusion,Asian Fusion,21.290822,-157.842286,1450 Ala Moana Blvd,Honolulu,96814,US,HI
Willow Tree Korean Restaurant,korean,Korean,,,,,21.42354258,-157.7487719,25 Kaneohe Bay Dr,Kailua,96734,US,HI
Noi Thai Cuisine,thai,Thai,,,,,21.27768304,-157.827855,2301 Kalakaua Ave,Honolulu,96815,US,HI
Lam's Kitchen,chinese,Chinese,noodles,Noodles,,,21.3129199,-157.86211,1152 Maunakea St,Honolulu,96817,US,HI
Simply Sichuan,szechuan,Szechuan,,,,,21.31406,-157.86141,100 N Beretania St,Honolulu,96817,US,HI
House Of Wong Restaurant,seafood,Cantonese,cantonese,Cantonese,,,21.2758251,-157.8150091,477 Kapahulu Ave,Honolulu,96815,US,HI