States,Asian Population,Percentage Asian Population,Chinese,Filipino,Indian,Japanese,Korean,Vietnamese,Other Asians,MostSubgroup,Latitude,Longitude,Dropdown
Alabama,67036,1.4,11154,8224,14951,4336,10624,8488,9259,Indian,32.806671,-86.791130,Chinese
Alaska,50402,7.1,3726,25424,1911,3926,6542,1446,7427,Filipino,61.370716,-152.404419,Filipino
Arizona,230907,3.6,42331,53067,40510,19611,21125,27872,26391,Filipino,33.729759,-111.431221,Indian
Arkansas,44943,1.5,6301,6396,7973,2384,3247,6302,12340,Indian,34.969704,-92.373123,Japanese
California,5556592,14.9,1451537,1474707,590445,428014,505225,647589,459075,Filipino,36.116203,-119.681564,Korean
Colorado,185589,3.7,33344,26242,24135,22714,28177,23933,27044,Chinese,39.059811,-105.311104,Vietnamese
Connecticut,157088,4.4,36483,16402,50806,6203,11760,10804,24630,Indian,41.597782,-72.755371,
Delaware,33701,3.8,7033,4637,12344,1196,3099,1688,3704,Chinese,39.318523,-75.507141,
District of Columbia,26857,4.5,6583,3670,6417,2010,2990,1856,3331,Chinese,38.897438,-77.026817,
Florida,573083,3.0,94244,122691,151438,25747,35629,65772,77562,Indian,27.766279,-81.686783,
Georgia,365497,3.8,54298,28528,105444,14247,60836,49264,52880,Indian,33.040619,-83.643074,
Hawaii,780968,57.4,199751,342095,4737,312292,48699,13266,139872,Filipino,21.094318,-157.498337,
Idaho,29698,1.9,5473,6211,2786,5698,2806,2154,4570,Filipino,44.240459,-114.478828,
Illinois,668694,5.2,119308,139090,203669,28623,70263,29101,78640,Indian,40.349457,-88.986137,
Indiana,126750,2.0,26038,16988,30947,8437,13685,8175,22480,Indian,39.849426,-86.258278,
Iowa,64512,2.1,11494,6026,12525,2854,7375,9543,14695,Indian,42.011539,-93.210526,
Kansas,83930,2.9,13448,9399,15644,4178,7756,16074,17431,Vietnamese,38.526600,-96.726486,
Kentucky,62029,1.4,10512,8402,14253,6197,7264,5813,9588,Indian,37.668140,-84.670067,
Louisiana,84335,1.9,11953,10243,13147,3117,4752,30202,10921,Vietnamese,31.169546,-91.867805,
Maine,18333,1.4,4390,2918,2397,1181,1741,2170,3536,Chinese,44.693947,-69.381927,
Maryland,370044,6.4,79660,56909,88709,12826,55051,26605,50284,Indian,39.063946,-76.802101,
Massachusetts,394211,6.0,136866,18673,85441,15358,28904,47636,61343,Chinese,42.230171,-71.530106,
Michigan,289607,2.9,51525,32324,84750,17412,30292,19456,53848,Indian,43.326618,-84.536095,
Minnesota,247132,4.7,30047,15660,38097,7995,20995,27086,107252,Indian,45.694454,-93.900192,
Mississippi,32560,1.1,5333,5638,6458,807,2301,7721,4302,Vietnamese,32.741646,-89.678696,
Missouri,123571,2.1,26001,17706,26263,7084,12689,16530,17298,Indian,38.456085,-92.288368,
Montana,10482,1.1,1919,2829,930,1854,1369,481,1100,Filipino,46.921925,-110.454353,
Nebraska,40561,2.2,5730,4900,6708,3106,3815,8677,7625,Vietnamese,41.125370,-98.268082,
Nevada,242916,9.0,39448,123891,14290,21364,18518,12366,13039,Filipino,38.313515,-117.055374,
New Hampshire,34522,2.6,7652,3369,9075,1842,3021,2907,6686,Indian,43.452492,-71.563896,
New Jersey,795163,9.0,149356,126793,311310,19710,100334,23535,64125,Indian,40.298904,-74.521011,
New Mexico,40456,2.0,7668,8535,5727,4889,3760,5403,4474,Filipino,34.840515,-106.248482,
New York,1579494,8.2,615932,126129,368767,51781,153609,34510,228763,Chinese,42.165726,-74.948051,
North Carolina,252585,2.6,40820,29314,63852,12878,25420,30665,49636,Indian,35.630066,-79.806419,
North Dakota,9193,1.4,1762,1704,1740,628,933,791,1635,Chinese,47.528912,-99.784012,
Ohio,238292,2.1,50870,27661,71211,16995,21207,15639,34706,Indian,40.388783,-82.764915,
Oklahoma,84170,2.2,11658,10850,14078,5580,9072,18098,14834,Vietnamese,35.565342,-96.928917,
Oregon,186281,4.9,41374,29101,20200,24535,20395,29485,21191,Chinese,44.572021,-122.070938,
Pennsylvania,402587,3.2,96606,33021,113389,12699,47429,44605,54838,Indian,40.590752,-77.209755,
Rhode Island,36763,3.5,8228,4117,5645,1455,2658,1615,13045,Chinese,41.680893,-71.511780,
South Carolina,75674,1.6,11706,15228,17961,4745,7162,7840,11032,Indian,33.856892,-80.945007,
South Dakota,10216,1.3,1570,1864,1433,696,1179,1002,2472,Filipino,44.299782,-99.438828,
Tennessee,113398,1.8,18313,14409,26619,6955,13245,11351,22506,Indian,35.747845,-86.692345,
Texas,1110666,4.4,182477,137713,269327,37715,85332,227968,170134,Indian,31.054487,-97.563461,
Utah,77748,2.8,16358,10657,7598,12782,7888,9338,13127,Chinese,40.150032,-111.862434,
Vermont,10463,1.7,2833,1035,1723,842,1271,1206,1553,Chinese,44.045876,-72.710686,
Virginia,522199,6.5,72585,90493,114471,20138,82006,59984,82522,Indian,37.769337,-78.169968,
Washington,604251,9.0,120814,137083,68978,67597,80049,75843,53887,Filipino,47.400902,-121.490494,
West Virginia,16465,0.9,3208,3059,3969,1159,1571,1104,2395,Indian,38.491226,-80.954453,
Wisconsin,151513,2.7,21054,13158,25998,5967,10949,6191,68196,Indian,44.268543,-89.616508,
Wyoming,6729,1.2,1340,1657,739,982,803,283,925,Filipino,42.755966,-107.302490,